Hypoxic___Apoptotic,Hypoxic___Proliferative,Hypoxic___p53+_EGFR+,Hypoxic___Basal_CK,Hypoxic___CK7+_CKhi_Cadherin,Hypoxic___CK7+_CK+,Hypoxic___Epithelial-low,Hypoxic___CK-low_HR-low,Hypoxic___CK+_HR-hi,Hypoxic___CK+_HR+,Hypoxic___CK_HRlow_p53+,Hypoxic___CKlow_HR-hi,Hypoxic___Myoepithelial,Apoptotic___Proliferative,Apoptotic___p53+_EGFR+,Apoptotic___Basal_CK,Apoptotic___CK7+_CKhi_Cadherin,Apoptotic___CK7+_CK+,Apoptotic___Epithelial-low,Apoptotic___CK-low_HR-low,Apoptotic___CK+_HR-hi,Apoptotic___CK+_HR+,Apoptotic___CK_HRlow_p53+,Apoptotic___CKlow_HR-hi,Apoptotic___Myoepithelial,Proliferative___p53+_EGFR+,Proliferative___Basal_CK,Proliferative___CK7+_CKhi_Cadherin,Proliferative___CK7+_CK+,Proliferative___Epithelial-low,Proliferative___CK-low_HR-low,Proliferative___CK+_HR-hi,Proliferative___CK+_HR+,Proliferative___CK_HRlow_p53+,Proliferative___CKlow_HR-hi,Proliferative___Myoepithelial,p53+_EGFR+___Basal_CK,p53+_EGFR+___CK7+_CKhi_Cadherin,p53+_EGFR+___CK7+_CK+,p53+_EGFR+___Epithelial-low,p53+_EGFR+___CK-low_HR-low,p53+_EGFR+___CK+_HR-hi,p53+_EGFR+___CK+_HR+,p53+_EGFR+___CK_HRlow_p53+,p53+_EGFR+___CKlow_HR-hi,p53+_EGFR+___Myoepithelial,Basal_CK___CK7+_CKhi_Cadherin,Basal_CK___CK7+_CK+,Basal_CK___Epithelial-low,Basal_CK___CK-low_HR-low,Basal_CK___CK+_HR-hi,Basal_CK___CK+_HR+,Basal_CK___CK_HRlow_p53+,Basal_CK___CKlow_HR-hi,Basal_CK___Myoepithelial,CK7+_CKhi_Cadherin___CK7+_CK+,CK7+_CKhi_Cadherin___Epithelial-low,CK7+_CKhi_Cadherin___CK-low_HR-low,CK7+_CKhi_Cadherin___CK+_HR-hi,CK7+_CKhi_Cadherin___CK+_HR+,CK7+_CKhi_Cadherin___CK_HRlow_p53+,CK7+_CKhi_Cadherin___CKlow_HR-hi,CK7+_CKhi_Cadherin___Myoepithelial,CK7+_CK+___Epithelial-low,CK7+_CK+___CK-low_HR-low,CK7+_CK+___CK+_HR-hi,CK7+_CK+___CK+_HR+,CK7+_CK+___CK_HRlow_p53+,CK7+_CK+___CKlow_HR-hi,CK7+_CK+___Myoepithelial,Epithelial-low___CK-low_HR-low,Epithelial-low___CK+_HR-hi,Epithelial-low___CK+_HR+,Epithelial-low___CK_HRlow_p53+,Epithelial-low___CKlow_HR-hi,Epithelial-low___Myoepithelial,CK-low_HR-low___CK+_HR-hi,CK-low_HR-low___CK+_HR+,CK-low_HR-low___CK_HRlow_p53+,CK-low_HR-low___CKlow_HR-hi,CK-low_HR-low___Myoepithelial,CK+_HR-hi___CK+_HR+,CK+_HR-hi___CK_HRlow_p53+,CK+_HR-hi___CKlow_HR-hi,CK+_HR-hi___Myoepithelial,CK+_HR+___CK_HRlow_p53+,CK+_HR+___CKlow_HR-hi,CK+_HR+___Myoepithelial,CK_HRlow_p53+___CKlow_HR-hi,CK_HRlow_p53+___Myoepithelial,CKlow_HR-hi___Myoepithelial,Hypoxic___Hypoxic,Apoptotic___Apoptotic,Proliferative___Proliferative,p53+_EGFR+___p53+_EGFR+,Basal_CK___Basal_CK,CK7+_CKhi_Cadherin___CK7+_CKhi_Cadherin,CK7+_CK+___CK7+_CK+,Epithelial-low___Epithelial-low,CK-low_HR-low___CK-low_HR-low,CK+_HR-hi___CK+_HR-hi,CK+_HR+___CK+_HR+,CK_HRlow_p53+___CK_HRlow_p53+,CKlow_HR-hi___CKlow_HR-hi,Myoepithelial___Myoepithelial
0.000107511934586,0.002622492074811,0,0,0,0.000107511934586,0.010781529195623,0.011484279607282,0.000107511934586,0.000860976163254,0.001975259003582,0,0,0.014291856280088,2.7324070295858E-05,0.00095766843582,0,0.001088080451208,0.089878343087561,0.086186514867587,0.004974075498094,0.000960066744421,0.006356835855291,0.001621877148052,0,0.000273240702959,0.003966128830335,0,0.007815505794267,0.500732607073043,0.474230021132572,0.020407986363555,0.007337562443852,0.064066826632599,0.003956647436552,0,0,0,5.4648140591716E-05,0.00046450919503,0.002513814467219,2.7324070295858E-05,2.7324070295858E-05,0.000136620351479,0,0,0,0.000628783096314,0.002544119967954,0.015845010565079,0.000793225766067,0,0.001257566192628,0.000328885339506,0,0,0,0,0,0,0,0,0,0.038552912211766,0.032977792150744,0.001878696720704,0.000441256001044,0.005710148606786,0,0,2.36787047850804,0.075804188956932,0.052908871696401,0.496435253500302,0.011001016643501,0,0.167520978046175,0.044346408161222,0.315775751636277,0.043005940201811,0,0.001813912756293,0.011503613003892,0.004417299647252,0,0.008519153796965,0.000732848586668,0,0.000784242432032,0,0,0,0.001559613713327,0.080454626443897,0,0,0,0.001044722902878,4.92663537632338,3.13258473157657,0.014879971838129,0.001245074423167,0.055736467827041,0.001069678139851,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.018928704057516,0.005570741061417,0.013170662983942,0.002953518811983,0.111141022054046,0.002617222249433,0.009156880346617,0,0.002953518811983,0,0,0.008323889185317,0.003601728520094,0.015326975537422,0.000984506270661,0.118405927467798,0.002617222249433,0.005234444498866,0,0.000984506270661,0,0,0.022465987763995,0.003277623666039,0.000984506270661,0.027517408744533,0.001308611124717,0.002617222249433,0,0.000984506270661,0,0,0.000984506270661,0.001969012541322,0.083623613309514,0.001308611124717,0.006539658097184,0,0.001969012541322,0,0,0.007339382914656,0.011814075247934,0,0,0,0.000984506270661,0,0,0.000984506270661,0.015703333496599,0.082398333013959,0,0.011814075247934,0,0,0.049406667861267,0.002617222249433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000984506270661,0,0,0,0,0.0085242598734,0.034839444489433,0,0.001969012541322,0,0.721419270154425,0,0.006539658097184,0,0,0,0,0.005370370373333
9.14976187264432E-05,0.001024705256147,0,0,9.5143908757716E-05,0.011114286610386,0.000461134383663,0.000186641527484,0,9.14976187264432E-05,9.5143908757716E-05,0,0,0.0052814309131,0,0.031334227232481,0.000101248733803,0.053054031306322,0.007479860264286,0.001119149913345,0,0.001268710225549,0.003019480348864,0,0,0,0.002151940371624,0.001564210294397,0.595714573618601,0.032561144855241,0.010771689091699,0,0.007449767164369,0.017767902040853,0,0,0,0,0,0,0,0,0,0,0,0,0.0006180380952,0.082533165504542,0.005059638919886,0.006481859061845,0,0,0.001373796271837,0,0,0.084214143179105,0.003669808315927,0.000977621960967,0,0.001302706744618,0.002121525281116,0,0,0.582172298532394,0.297548417831841,0,0.215513763657519,0.377862992421753,0,0,0.012721932687132,0,0.011676093836446,0.026345413251832,0,0,0,0.009351703300757,0.012773479414082,0,0,0,0,0,0,0.011938505051544,0,0,0,0,0,0,0.000101248733803,0.042413573163795,0,0.464380503318428,0.001476343522383,13.1955971030214,0.044563117843399,0.005394593688505,0,0.005183028323232,0.017773280227959,0,0
0,0,0.00789583333,0,0,0.05527083331,0,0,0.00789583333,0.01579166666,0.01579166666,0,0,0.04922143127234,0,0,0.002576788289256,0.101997335394551,0.005672983479592,0.146670023802339,0.005069565413497,0.036039053947789,0.016256546836004,0,0.000991088306238,0.002200077893599,0,0.001288394144628,0.307194974586712,0.017074634494663,0.41443495962192,0.01294997770876,0.105536294259416,0.046187288289425,0,0.001366905299318,0,0,0.014936082589516,0,0.004840171365917,0.00112797619,0.00225595238,0.00269596795872,0,0,0,0,0,0,0,0,0,0,0,0.063793781943526,0,0.014839216209366,0.000893403733701,0.006610438018825,0.001786807467401,0,0,0.025738380807982,0.91943815147976,0.055415574918287,0.408399622209406,0.218285892671471,0,0.038745666480608,0.043484010224019,0.00308738880102,0.005841003067086,0.01504748541426,0,0.000751633986159,0.025338056167174,0.311575584424559,0.127938700678499,0,0.013435661665019,0.007235552369544,0.012411522516762,0,0.001982176612476,0.041116085950919,0,0.008231557638163,0,0.017655820571076,0,0.04737499998,0.036830648216203,0.183342321893731,0,0,0.00274525558494,2.20220083018196,0.000751633986159,1.06591310439732,0.001982176612476,0.077544776541092,0.10847776489922,0,0
0.007810650887574,0.007810650887574,0.015621301775148,0,0,0,0,0,0,0,0,0,0,0.286396070470995,0.417269312888554,0.002049258926276,0,0,0,0.000710641399235,0,0.021622501551724,0,0,0.000710641399235,1.05981954800189,0.035157138964471,0,0,0,0.003553206996173,0,0.032904072434507,0,0,0.003553206996173,0.081690411477716,0,0,0,0.014212827984694,0,0.04076295433471,0,0,0.014212827984694,0,0,0,0,0,0.002014784503472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000710641399235,0,0,0,0,0,0,0,0,0,0,0,0.129111002579859,0.94044535216441,3.92474001470529,0.004064043429748,0,0,0,0,0,0.012355715172414,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006068881810651,0.024275527242604,0,0.006068881810651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019121693124445,0.001470899471111,0,0,0,0,0,0,0,0,0,0.240781459526915,0,0.12468615675522,0,0.008088888893333,0.036405643741728,0.216581568037604,0,0.029659259275556,0.00108024691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109580640821807,2.51645772587664,0,0.118683750368945,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000917090946883,6.11023443209877E-05,0,4.18165453401783E-05,0,1.68484344916171E-05,0.024959975758928,0.000241952670851,0.000251319113075,0.000119608035197,9.18927140485612E-05,0,0.002207415837187,0.000732616552576,0.004190925419769,0.000635832152585,0.006681866032445,0.951550747224998,0.021182488343998,0.020026230780558,0.014003943303213,0.009314471305394,0.000376209499512,0.000167254152949,0.000393184282357,5.86759764582484E-05,0.000131929064425,0.038701699318509,0.000543165204403,0.00026828347432,0.000318369439566,6.31013219290494E-05,0.000167254152949,0.000334508305898,0,7.06702999533365E-05,0.033840710480483,0.000232823918581,0.000925513370937,0.000313695287177,0.000925513370937,0.000167254152949,0.000807058287731,0.000331082344084,0.07788126493879,0.0022209392943,0.006183326408534,0.001656122885882,0.000911556402339,0.000334508305898,0.000117351952916,0.013468772711472,0.000234703905833,0.001726666734151,0.00040593004098,0.000229902111605,0,0.069112631428884,0.00139760324496,0.001280777750459,0.00071835201529,0.000351510398814,0,0.250767521623762,0.26001891754446,0.181757701591169,0.116609952819395,0.011831006897608,0.006363461668109,0.007614193921865,0.004597579581456,0.000292627360887,0.005114417417273,0.004804876458756,0,0.003394461865542,0.000292627360887,0,0,0.0001338492064,0.072467613622367,0,0,0.002060155099062,5.86759764582484E-05,0.000432122011138,14.0004251267084,0.008773254579306,0.01236719938407,0.002883433162415,0.001367119637665,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.012551551005917,0,0,0,0,0.301625856037475,0,0.018248456790124,0,0.108450097872818,0,0,0,0,0,0,0.018827326508876,0,0,0,0.006275775502959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00829475308642,0,0.08452342357559,0,0,0,0,0,0,0,0,0.001658950617284,0,0,0,0,0,0,0,0,0,0.376991230462926,0,0,0,0,0,0.422013070996786,0,0,0,0.020692128378698,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.87556356198347E-05,0,0.005083097799467,0,0.00028414351875,0.009872484703184,0.010391809041805,0.028259011149796,0.047477636872499,0.043866099752041,0,7.75112712396694E-05,0,0.000776183961137,0,0,0.001162743853201,0.014595688094721,0.041170983156174,0.014648242239131,0.027644830676209,0,0.000174668172474,0,0,0,0,0,0,0,0,0,0,0,0.000375657188366,0.020493959866266,0.097821455635181,0.446908043070486,0.162933830153021,0.163732943529028,0.005857985196236,0.008475631242734,0,0,0,0,0,0,0,0,0.001035457895481,0.001695258602597,0.01233398107616,0.004445180120481,0.004811234798944,0,0,0.065914573464188,0.149206829170633,0.158359045626682,0.176765048575944,0.001146461974938,0.000313913521402,0.393545283111351,0.394733402422012,0.584910422487966,0.008858527074568,0.001002650958339,1.09380361222564,1.07826275320694,0.012626242726644,0.050845479436868,1.11057589208336,0.005827317557458,0.005744952176946,0.010948933788889,0.002054197938934,0,0,0,0.001026831316346,0,0.187451775438734,0,0,0.024878391569699,0.250464259503465,2.76372992984564,2.06908629087333,1.5580809366723,0,0.00133149871637
0.001059284443288,0,0.000529642221644,0,0,0.001059284443288,0,0.001059284443288,0,0.011122486654527,0.001059284443288,0,0,0.112656635067591,0.009852911435277,0.006989845348595,0,0.033146408443771,0.032343611296461,0.017781677267445,0.00019967784852,0.099718913277646,0.194231865248033,0,0.000969712760204,0.031057473543337,0.009319793798127,0,0.048839118669564,0.063004694026545,0.016167548225664,0.000599033545559,0.149203641540726,0.410512368316614,0,0,0,0,0.003321947550431,0.002258806796735,0.020572465994381,0.00019967784852,0.14442309426093,0.042409790556622,0,0.000969712760204,0,0.003494922674298,0.001164974224766,0,0,0.002329948449532,0.010484768022893,0,0,0,0,0,0,0,0,0,0,0.029057665307538,0.01629901237726,0,0.078327481539338,0.069873412407027,0,0.003393994660714,0.009649987247047,0,0.05779047600251,0.123580097270302,0,0.000484856380102,0.000599033545559,0.384349540425836,0.037371085572993,0,0.005818276561224,0.008386469637832,0,0,0,0.254189522732476,0,0.014060835022959,0,0,0,0,0.051638981753413,0.21094409348995,0.004194376006735,0.001164974224766,0,0.021231681690222,0.023929344765387,0.065121599406175,0,2.17196965514772,0.684498986557177,0,0.000969712760204
