HM_1,HM_2,HM_3,HM_4,HM_5,HM_6,HM_7,HM_8,HM_9,HM_10,HM_11,HM_12,HM_13,HM_14,HM_15,HM_16,HM_17
1.46720943650152,1.33631007179727,1.11536118043189,1.19073787589631,1.64378171396029,1.49459119998764,1.40463694539582,1.6715036669907,1.08944254443765,2.18772386850998,1.29614602575921,1.7092580364631,1.79273436603536,1.1672949555767,1.18615172756115,1.13952306709061,1.39346572567996
1.44804753660147,1.33448189943136,1.10519097811862,1.19082501522055,1.63839193451429,1.48728487752828,1.40302451765628,1.6759004633048,1.08172031872119,2.05378723384054,1.30757677081946,1.69774981708667,1.79405919296353,1.17306928336364,1.18400575246978,1.14236761332433,1.40907495456816
1.45862160805279,1.34146123936422,1.10704222706932,1.19024338043915,1.64589814132412,1.49267265320058,1.39908712027637,1.66887069889142,1.07979423084032,2.70549464333046,1.29436650974365,1.69811176873081,1.78597975877748,1.17068986519621,1.18134610378664,1.12720744851763,1.40183471457143
1.46459320111628,1.33698880250415,1.11503771939485,1.18481581245276,1.6400494993162,1.4846282025785,1.40249461881072,1.67411416442399,1.08610640242818,2.29031998827921,1.30112121603383,1.70367372717434,1.7862365433873,1.16473395500125,1.18059112843112,1.13955099795834,1.39552039542759
1.46194137998349,1.33982998546167,1.11417634526892,1.18648026261584,1.63820441319979,1.48914021756283,1.40485839379476,1.67348718173717,1.08044988483276,2.07470482695607,1.31293965150858,1.70893946016359,1.78242570548906,1.16450299959707,1.17973269144557,1.14227166759174,1.40178312727461
1.46557154083954,1.33694022876037,1.10834797409181,1.19348972390913,1.64620905363587,1.49445414456008,1.40371266595766,1.67377823535523,1.08878015552903,2.31105817824704,1.29649866891962,1.70214705432564,1.78358453000424,1.16839789466964,1.18192272173885,1.1372795689335,1.39540618415007
1.46863977225568,1.33481067665059,1.10887585944141,1.19301526415492,1.64712281916197,1.49105970289473,1.40372583520725,1.67129809760692,1.08781022385466,2.12625222600281,1.29797172390211,1.70639304444208,1.78117355456643,1.16217412361831,1.18158457476371,1.13331659259267,1.39915134625413
1.45853787367927,1.33568856763644,1.11173381525442,1.18786936970048,1.64229704856136,1.49225755590202,1.40064332123391,1.67009911699732,1.08831793307976,2.38369980800663,1.29952714696987,1.70191531140968,1.78395042438699,1.16916879240818,1.18486708435396,1.1414837379383,1.39927512856385
1.46796761468452,1.33812807496503,1.10844063545949,1.18769244888846,1.64933007601172,1.48938101083524,1.39579370645144,1.673320597367,1.0932515380646,2.34304425287546,1.29443653553244,1.70498291081173,1.7735429788585,1.16532389123905,1.18073858495587,1.14071783246038,1.39615723683567
1.46165720037658,1.33755843669237,1.11332559158615,1.18932156051851,1.64235813609707,1.49002765242087,1.40816270162174,1.67291961016507,1.08339555556343,2.11120782854167,1.30316789332706,1.70674674295338,1.78256834621625,1.16895859187762,1.18021118818358,1.13822847496905,1.39563392847641
