B_Cell_1,T_B_Cells,T_Cell_1,Macrophage_1,T_Cell_2,Macrophage_2,Endothelial,Vimentin-hi,Small_Circular,Small_Elongated,Fibronectin-hi,Large_Elongated,SMA_hi_Vimentin,Hypoxic,Apoptotic,Proliferative,p53+_EGFR+,Basal_CK,CK7+_CKhi_Cadherin,CK7+_CK+,Epithelial-low,CK-low_HR-low,CK+_HR-hi,CK+_HR+,CK_HRlow_p53+,Cklow_HR-hi,Myoepithelial
0,1.96431283,2.829614256,3.120660031,3.099975432,0,3.446232968,3.604462871,2.80941087,3.841300015,2.788221571,0,1.788221571,1.487191575,0,3.149949407,1.96431283,2.691311558,0,1.788221571,3.250619569,4.675275949,3.63947992,2.848919411,3.47396331,2.18616158,1.788221571
1.505098561,0,3.010248539,2.283249811,1.806128557,0,3.587883931,0,0,0,0,0,1.505098561,0,0,0,0,2.45934107,0,0,0,4.801544355,1.982219816,1.982219816,0,0,0
0,1.89188337,3.448185871,3.281049454,0,0,3.51513266,3.109367314,3.51513266,4.272094612,2.971064616,0,2.192913365,0,1.590853374,3.109367314,1.590853374,0,1.590853374,4.556525345,3.203637231,3.390193924,0,3.306856718,2.289823378,0,2.067974629
1.613203284,2.843652205,4.0830253,3.215263275,2.215263275,1.613203284,2.891956885,4.07108518,3.476526144,4.169505784,2.516293271,0,2.727146636,2.090324538,1.914233279,2.391354534,0,3.488264547,1.613203284,4.383318578,3.215263275,3.482435003,4.049365931,2.789294543,3.19298688,2.090324538,2.993414525
0,0,2.705441928,2.927290677,0,0,2.295267463,3.980369121,2.927290677,4.167007146,3.029953019,1.751199418,0,2.228320673,3.083637878,2.705441928,1.751199418,0,1.450169423,1.450169423,3.263082779,3.083637878,4.667390078,2.491562108,3.463006647,2.052229414,0
0,1.651375863,3.323473721,3.18285478,0,0,3.450716412,3.860890877,3.031587105,3.794390663,2.429527113,0,3.341571943,1.651375863,2.765319215,1.651375863,1.651375863,0,0,3.375651732,2.350345867,3.768647159,4.398010062,3.537866588,2.952405859,2.253435854,1.651375863
3.502706945,3.764818875,4.409657353,3.390002665,2.91288141,0,3.120006903,3.630736759,3.104766937,3.699001591,0,0,2.699001591,2.13473016,2.435760156,2.611851415,2.13473016,0,2.936362506,2.259668897,2.35657891,3.555235997,4.067542029,3.055548914,3.435760156,0,0
0,2.221468185,2.984896178,3.513724256,0,0,3.102281777,3.787316004,3.3917299,4.2153451,2.823528176,0,2.47674069,1.823528176,3.814754252,3.575576624,2.425588168,1.823528176,2.367596221,3.04101212,2.984896178,2.777770686,2.563890866,4.616269962,3.385821041,1.823528176,1.522498181
0,2.391642475,3.339810837,3.178748568,0,0,2.93571052,2.09061248,3.437942495,4.469010381,0,0,0,1.488552488,2.187522493,3.509741787,0,1.488552488,0,2.71900141,4.358956394,3.466276094,2.442794998,3.461680342,3.689949613,0,0
2.840417115,3.058472876,4.142390205,3.460960512,2.177659284,0,3.557870525,2.82111196,3.347920999,4.150787137,0,0,0,1.779719275,1.779719275,3.347920999,0,3.483010653,0,4.41014715,3.579059824,2.800908574,0,2.709138201,2.624817315,0,1.478689279
2.588123282,1.847760593,4.090798642,4.160572419,0,0,3.476149523,4.30790641,2.889153278,3.7080986,3.038092291,0,0,1.546730597,1.546730597,2.588123282,0,1.546730597,1.546730597,0,0,4.118439429,2.944670606,2.500973107,2.802003102,0,0
0,2.243833173,3.605561009,3.853071749,1.942803177,0,3.4950657,2.766711918,3.14692316,4.355543644,1.766711918,0,0,1.465681923,2.845893164,2.465681923,1.465681923,0,0,2.243833173,3.334913642,4.72047161,2.507074608,2.465681923,3.530139912,1.766711918,0
1.960630502,1.659600507,3.753022192,3.002023188,2.960630502,0,1.960630502,3.747736595,2.637324112,3.8224635,3.498449597,0,2.981819801,1.835691766,2.358570511,2.562690494,2.057540515,1.358570511,1.358570511,1.960630502,2.057540515,3.157911061,2.472513863,4.817812176,2.820968509,0,1.358570511
2.636852409,1.909853681,4.160273683,3.232072976,0,0,3.382122433,3.70919423,2.663181348,3.820122252,3.113973664,1.733762422,2.92409412,1.909853681,2.546675778,2.812943668,1.432732426,2.847705774,0,0,2.034792417,4.510100331,0,2.13170243,1.432732426,0,2.663181348
0,2.279771766,3.580801762,3.732069437,0,0,3.455863025,3.234014276,3.249808543,3.99577511,2.279771766,0,0,0,1.802650512,2.580801762,0,1.802650512,0,1.802650512,2.916593864,3.990171233,3.321164452,2.756893021,4.407955558,1.802650512,1.802650512
0,2.650542327,3.325152985,2.864422147,1.609149642,0,3.211209633,4.221933498,3.153217686,3.965175499,1.609149642,0,3.188933238,0,2.308119646,2.387300892,3.262362155,3.662228085,2.211209633,2.650542327,2.563392151,1.609149642,3.252602318,3.140628559,2.387300892,0,4.753100758
0,2.055537069,3.453477078,3.134718315,0,0,3.096929754,3.811411925,3.560687047,4.276951307,1.754507073,0,2.930598332,1.754507073,2.754507073,2.754507073,0,2.868450426,0,1.754507073,2.868450426,3.231628328,4.035540441,3.096929754,4.388984343,2.055537069,2.055537069
0,2.098706546,3.875044455,3.672737813,0,0,3.716754642,3.329155467,3.526030332,4.417812605,2.959044552,0,2.341744594,1.496646554,2.399736541,2.538039239,0,3.335495645,0,1.79767655,3.244834581,4.371128372,3.13011501,2.399736541,2.538039239,0,0
0,2.243802718,3.675166482,3.285195403,0,0,2.368741454,3.867052008,2.997130385,3.968078587,3.41013414,0,0,0,2.067711459,0,0,0,0,2.067711459,0,3.696100389,3.088900758,2.465651467,1.766681463,2.970801446,1.766681463
2.380074895,2.939382906,4.303707428,3.283164882,0,0,2.857196149,3.240412901,3.548866915,4.355506703,2.380074895,0,1.778014903,1.476984908,1.954106162,3.120437584,0,0,0,4.276325457,3.518377593,2.68110489,2.995498848,2.838712744,3.468210983,0,1.476984908
2.982234596,3.689029938,4.086969946,2.542901902,0,0,3.11693317,3.870260836,3.509043635,4.114028179,0,0,3.584294587,0,2.542901902,2.542901902,0,3.355815259,1.940841911,3.321053152,3.219595512,3.564091201,2.718993161,2.241871906,3.648412087,0,2.940841911
2.606621151,3.101471173,3.985699942,3.208681142,1.703531164,0,3.194892858,2.800441177,2.63295009,3.683534536,1.703531164,0,1.703531164,1.402501168,2.516444521,2.907651147,0,2.958803669,0,2.305591155,3.676659018,3.488860999,4.816638531,2.180652419,3.791667253,2.180652419,1.879622423
0,2.419156723,3.479854564,3.197307974,2.919759074,2.243065464,3.748215443,2.817096732,3.237602569,4.086609676,1.641005473,0,0,1.942035469,3.203298338,4.766649365,2.118126728,0,0,1.641005473,3.730910585,2.243065464,0,3.125305312,1.339975477,0,0
0,1.842115797,2.49532831,3.184538478,0,0,3.240055805,3.705438657,2.956059149,4.060913795,3.194298315,1.541085801,2.386183841,0,2.319237051,2.444175788,0,0,0,2.902813637,2.842115797,3.637995814,2.620267047,4.545407175,2.386183841,0,0
0,2.241215237,3.368320035,3.122028829,0,0,2.241215237,4.345018958,3.175713688,4.206887208,3.825546461,1.843275228,2.387343272,1.843275228,2.688373268,2.542245232,0,1.542245232,0,4.327575067,2.797517738,2.772694154,2.621426478,3.033606926,3.320396483,1.542245232,0
1.386839212,1.687869208,3.172169047,2.532967248,2.80181256,0,3.256070932,2.918318129,2.918318129,3.660997061,2.164990463,0,0,2.164990463,0,3.219348125,1.386839212,0,1.863960467,2.642111717,2.466020458,3.030291889,4.785473537,3.150267206,3.355322161,1.386839212,0
1.647130875,1.823222134,3.581629326,3.649296936,2.460044231,1.346100879,3.694405742,3.482821446,2.851250857,3.690493153,3.027342116,0,0,4.123527701,3.485979965,4.591613547,3.285620132,2.300343388,1.346100879,2.425282125,3.226914471,2.550220862,0,2.726312121,2.707828715,1.346100879,0
3.337089684,3.364073173,4.501137343,3.568846722,1.444995081,0,3.177388841,4.137842,2.223146331,3.46618438,2.922116336,1.444995081,2.767214376,1.444995081,4.231746503,2.892153112,2.290093121,3.320056344,0,2.558938433,2.047055072,2.936356775,1.444995081,2.591123117,2.806722917,1.746025077,2.047055072
0,1.659861387,3.107019418,2.739042633,0,0,3.136982642,4.424784372,3.151223081,4.094430291,3.250925994,0,2.562951374,0,1.960891383,2.504959427,0,0,1.659861387,2.86398137,2.261921378,2.438012637,2.86398137,4.401800465,3.040072629,0,1.960891383
2.839785657,3.195173315,4.613572102,4.078667746,1.964724394,0,3.353890478,3.502543489,3.219996899,4.04390564,2.362664402,0,0,1.663694398,2.441845648,3.427122392,0,0,0,1.964724394,2.867814381,2.894143319,1.964724394,1.964724394,3.411882425,0,0
2.18044422,2.896447564,4.439560064,3.636810253,0,0,2.481474216,3.48579559,3.362287808,4.362287808,2.384564203,0,1.481474216,0,2.823896897,3.153572074,0,1.481474216,1.782504212,1.481474216,3.837500073,3.162715453,2.083534207,2.843202052,2.879414225,0,0
0,1.672116142,3.190630082,1.973146138,0,0,3.585929995,1.672116142,3.353357379,3.82745218,2.751297388,0,0,0,2.274176133,1.973146138,0,2.950869743,2.517214182,4.612632627,2.786059494,2.149237397,1.672116142,2.818244178,1.973146138,0,0
0,0,3.684154056,3.742146003,0,0,3.129090628,3.467444946,2.793298526,4.057854014,2.71411728,1.538026021,0,1.538026021,2.768474942,4.044531053,0,1.839056016,2.49226853,3.467444946,3.350939377,4.460751479,2.49226853,2.742146003,3.849779882,0,0
2.97766047,3.142470719,4.235708029,3.761344209,2.039808377,0,2.841440723,4.140178922,3.153751729,3.901143616,2.516929632,0,2.641868368,1.863717118,0,2.261657127,0,1.562687122,2.340838373,2.465777109,2.407785162,2.562687122,3.094166039,4.4848934,3.535814976,0,0
0,2.237861828,2.590044346,3.317043074,0,0,2.936831832,3.474650927,2.334771841,3.652835176,2.635801836,0,2.112923091,1.635801836,1.635801836,3.050775184,0,1.635801836,2.112923091,2.811893095,2.749745189,3.778816637,2.635801836,3.082959868,4.968845866,1.635801836,2.237861828
3.751046385,3.450016389,4.058416558,3.511823539,3.851011236,1.520597463,2.821627459,3.610502575,2.365695503,3.48438529,2.219567467,0,2.775869968,2.298748714,4.18898338,2.775869968,2.724717446,3.219567467,1.997718718,2.863020144,2.520597463,2.982995461,2.520597463,4.431221868,2.599778709,0,2.634540815
0,2.051595185,2.720601966,2.477563918,0,0,2.52871644,3.264670011,3.657259301,4.31562553,3.477563918,0,2.477563918,0,1.875503926,0,0,0,0,4.371741472,3.31483662,0,0,2.52871644,2.896693225,0,0
0,1.647275435,3.754485404,3.045215443,0,0,2.425426685,2.425426685,3.751079156,4.600067878,2.124396689,0,0,3.009003271,1.647275435,0,0,0,2.124396689,0,3.94830543,0,0,1.647275435,2.124396689,0,0
